MIN=0	0	0	-0,1	0
MAX=40	30	10	13	80
SCALE=40	10	5	5	10
DEC=1	2	2	2	2
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Corriente del colector" I_A / nA	"Tensión de aceleración" U_B / V
13	6,255	3,34	6,255	33,4
13,1	6,45	3,37	6,45	33,7
13,2	6,66	3,395	6,66	33,95
13,299	6,84	3,42	6,84	34,2
13,4	7,035	3,445	7,035	34,45
13,5	7,185	3,47	7,185	34,7
13,599	7,29	3,495	7,29	34,95
13,7	7,335	3,525	7,335	35,25
13,799	7,395	3,55	7,395	35,5
13,9	7,44	3,575	7,44	35,75
13,999	7,47	3,6	7,47	36
14,1	7,485	3,625	7,485	36,25
14,2	7,485	3,65	7,485	36,5
14,3	7,455	3,675	7,455	36,75
14,4	7,41	3,705	7,41	37,05
14,499	7,335	3,73	7,335	37,3
14,6	7,245	3,755	7,245	37,55
14,7	7,155	3,785	7,155	37,85
14,8	7,065	3,805	7,065	38,05
14,899	6,945	3,835	6,945	38,35
14,999	6,885	3,855	6,885	38,55
15,1	6,75	3,885	6,75	38,85
15,2	6,615	3,91	6,615	39,1
15,299	6,465	3,935	6,465	39,35
15,4	6,3	3,96	6,3	39,6
15,499	6,135	3,985	6,135	39,85
15,6	5,94	4,01	5,94	40,1
15,699	5,73	4,04	5,73	40,4
15,799	5,52	4,055	5,52	40,55
15,9	5,295	4,085	5,295	40,85
15,999	5,055	4,11	5,055	41,1
16,1	4,815	4,135	4,815	41,35
16,199	4,695	4,16	4,695	41,6
16,299	4,455	4,185	4,455	41,85
16,4	4,215	4,215	4,215	42,15
16,499	3,96	4,235	3,96	42,35
16,6	3,72	4,265	3,72	42,65
16,699	3,48	4,285	3,48	42,85
16,799	3,3	4,315	3,3	43,15
16,9	3,255	4,335	3,255	43,35
17	3,3	4,36	3,3	43,6
17,099	3,33	4,385	3,33	43,85
17,199	3,285	4,41	3,285	44,1
17,299	3,195	4,44	3,195	44,4
17,4	3,075	4,465	3,075	44,65
17,5	3	4,49	3	44,9
17,599	2,985	4,515	2,985	45,15
17,699	3,03	4,54	3,03	45,4
17,8	3,12	4,565	3,12	45,65
17,899	3,21	4,585	3,21	45,85
18	3,24	4,615	3,24	46,15
18,099	3,27	4,635	3,27	46,35
18,2	3,315	4,665	3,315	46,65
18,301	3,375	4,685	3,375	46,85
18,4	3,465	4,71	3,465	47,1
18,5	3,57	4,735	3,57	47,35
18,599	3,675	4,76	3,675	47,6
18,7	3,795	4,785	3,795	47,85
18,799	3,855	4,81	3,855	48,1
18,899	3,96	4,835	3,96	48,35
18,999	4,095	4,86	4,095	48,6
19,1	4,23	4,885	4,23	48,85
19,199	4,38	4,91	4,38	49,1
19,3	4,545	4,935	4,545	49,35
19,4	4,71	4,96	4,71	49,6
19,5	4,875	4,985	4,875	49,85
19,6	5,055	5,01	5,055	50,1
19,7	5,235	5,03	5,235	50,3
19,799	5,43	5,055	5,43	50,55
19,899	5,625	5,085	5,625	50,85
20	5,82	5,11	5,82	51,1
20,1	5,925	5,135	5,925	51,35
20,199	6,12	5,165	6,12	51,65
20,3	6,315	5,18	6,315	51,8
20,401	6,51	5,205	6,51	52,05
20,5	6,705	5,235	6,705	52,35
20,599	6,87	5,255	6,87	52,55
20,699	7,05	5,285	7,05	52,85
20,8	7,215	5,31	7,215	53,1
20,899	7,365	5,33	7,365	53,3
21,001	7,53	5,355	7,53	53,55
21,101	7,695	5,38	7,695	53,8
21,2	7,83	5,405	7,83	54,05
21,299	7,965	5,43	7,965	54,3
21,399	8,025	5,455	8,025	54,55
21,499	8,13	5,48	8,13	54,8
21,6	8,235	5,505	8,235	55,05
21,7	8,34	5,525	8,34	55,25
21,799	8,43	5,55	8,43	55,5
21,899	8,52	5,575	8,52	55,75
21,999	8,595	5,6	8,595	56
22,1	8,655	5,625	8,655	56,25
22,2	8,7	5,65	8,7	56,5
22,299	8,745	5,675	8,745	56,75
22,4	8,775	5,695	8,775	56,95
22,5	8,79	5,725	8,79	57,25
22,6	8,79	5,745	8,79	57,45
22,699	8,79	5,77	8,79	57,7
22,8	8,775	5,79	8,775	57,9
22,9	8,745	5,82	8,745	58,2
23	8,715	5,84	8,715	58,4
23,1	8,655	5,865	8,655	58,65
23,2	8,61	5,89	8,61	58,9
23,299	8,535	5,915	8,535	59,15
23,4	8,46	5,935	8,46	59,35
23,499	8,37	5,965	8,37	59,65
23,6	8,265	5,985	8,265	59,85
23,699	8,205	6,01	8,205	60,1
23,8	8,175	6,035	8,175	60,35
23,9	8,16	6,06	8,16	60,6
24	8,145	6,085	8,145	60,85
24,099	8,085	6,105	8,085	61,05
24,2	7,995	6,13	7,995	61,3
24,3	7,89	6,155	7,89	61,55
24,4	7,785	6,175	7,785	61,75
24,5	7,695	6,205	7,695	62,05
24,6	7,635	6,225	7,635	62,25
